ImgPath,Class,Style
data/Furniture_Data\beds\Asian\7593asian-daybeds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\3368asian-panel-beds_aug_115.png,beds,Asian
augmentation_Task3_2\beds\Asian\2730asian-platform-beds_aug_147.png,beds,Asian
data/Furniture_Data\beds\Asian\8109asian-panel-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7634asian-daybeds_aug_75.png,beds,Asian
augmentation_Task3_2\beds\Asian\3166asian-daybeds_aug_36.png,beds,Asian
augmentation_Task3_2\beds\Asian\8115asian-daybeds_aug_60.png,beds,Asian
augmentation_Task3_2\beds\Asian\8108asian-platform-beds_aug_96.png,beds,Asian
augmentation_Task3_2\beds\Asian\7793asian-platform-beds_aug_195.png,beds,Asian
data/Furniture_Data\beds\Asian\3099asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\2637asian-platform-beds_aug_187.png,beds,Asian
augmentation_Task3_2\beds\Asian\7815asian-platform-beds_aug_81.png,beds,Asian
data/Furniture_Data\beds\Asian\4972asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\3368asian-panel-beds_aug_80.png,beds,Asian
augmentation_Task3_2\beds\Asian\7850asian-platform-beds_aug_124.png,beds,Asian
augmentation_Task3_2\beds\Asian\7634asian-daybeds_aug_40.png,beds,Asian
augmentation_Task3_2\beds\Asian\8109asian-panel-beds_aug_44.png,beds,Asian
augmentation_Task3_2\beds\Asian\7873asian-platform-beds_aug_72.png,beds,Asian
augmentation_Task3_2\beds\Asian\7717asian-daybeds_aug_64.png,beds,Asian
augmentation_Task3_2\beds\Asian\4972asian-platform-beds_aug_101.png,beds,Asian
augmentation_Task3_2\beds\Asian\2871asian-panel-beds_aug_97.png,beds,Asian
augmentation_Task3_2\beds\Asian\8103asian-canopy-beds_aug_126.png,beds,Asian
augmentation_Task3_2\beds\Asian\20109asian-panel-beds_aug_88.png,beds,Asian
augmentation_Task3_2\beds\Asian\3166asian-daybeds_aug_106.png,beds,Asian
augmentation_Task3_2\beds\Asian\3110asian-platform-beds_aug_181.png,beds,Asian
augmentation_Task3_2\beds\Asian\20027asian-canopy-beds_aug_63.png,beds,Asian
augmentation_Task3_2\beds\Asian\7577asian-daybeds_aug_39.png,beds,Asian
data/Furniture_Data\beds\Asian\2709asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7733asian-panel-beds_aug_190.png,beds,Asian
augmentation_Task3_2\beds\Asian\8102asian-sleigh-beds_aug_92.png,beds,Asian
augmentation_Task3_2\beds\Asian\3110asian-platform-beds_aug_111.png,beds,Asian
augmentation_Task3_2\beds\Asian\7738asian-daybeds_aug_84.png,beds,Asian
augmentation_Task3_2\beds\Asian\7793asian-platform-beds_aug_90.png,beds,Asian
augmentation_Task3_2\beds\Asian\7850asian-platform-beds_aug_159.png,beds,Asian
augmentation_Task3_2\beds\Asian\3166asian-daybeds_aug_141.png,beds,Asian
augmentation_Task3_2\beds\Asian\7873asian-platform-beds_aug_37.png,beds,Asian
augmentation_Task3_2\beds\Asian\3314asian-platform-beds_aug_157.png,beds,Asian
augmentation_Task3_2\beds\Asian\7577asian-daybeds_aug_109.png,beds,Asian
augmentation_Task3_2\beds\Asian\2871asian-panel-beds_aug_62.png,beds,Asian
augmentation_Task3_2\beds\Asian\20109asian-panel-beds_aug_53.png,beds,Asian
augmentation_Task3_2\beds\Asian\3112asian-daybeds_aug_128.png,beds,Asian
augmentation_Task3_2\beds\Asian\7873asian-platform-beds_aug_142.png,beds,Asian
data/Furniture_Data\beds\Asian\7815asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\3099asian-platform-beds_aug_83.png,beds,Asian
augmentation_Task3_2\beds\Asian\7634asian-daybeds_aug_180.png,beds,Asian
augmentation_Task3_2\beds\Asian\3110asian-platform-beds_aug_76.png,beds,Asian
augmentation_Task3_2\beds\Asian\7850asian-platform-beds_aug_89.png,beds,Asian
data/Furniture_Data\beds\Asian\7717asian-daybeds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\2730asian-platform-beds_aug_42.png,beds,Asian
data/Furniture_Data\beds\Asian\2637asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7738asian-daybeds_aug_119.png,beds,Asian
augmentation_Task3_2\beds\Asian\2537asian-platform-beds_aug_38.png,beds,Asian
data/Furniture_Data\beds\Asian\7957asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\8102asian-sleigh-beds_aug_162.png,beds,Asian
augmentation_Task3_2\beds\Asian\20027asian-canopy-beds_aug_168.png,beds,Asian
data/Furniture_Data\beds\Asian\7577asian-daybeds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\20109asian-panel-beds_aug_158.png,beds,Asian
augmentation_Task3_2\beds\Asian\8108asian-platform-beds_aug_166.png,beds,Asian
augmentation_Task3_2\beds\Asian\2537asian-platform-beds_aug_73.png,beds,Asian
data/Furniture_Data\beds\Asian\8103asian-canopy-beds.jpg,beds,Asian
data/Furniture_Data\beds\Asian\2537asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\2537asian-platform-beds_aug_178.png,beds,Asian
augmentation_Task3_2\beds\Asian\3112asian-daybeds_aug_58.png,beds,Asian
augmentation_Task3_2\beds\Asian\8103asian-canopy-beds_aug_196.png,beds,Asian
data/Furniture_Data\beds\Asian\7793asian-platform-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\7733asian-panel-beds_aug_50.png,beds,Asian
data/Furniture_Data\beds\Asian\7733asian-panel-beds.jpg,beds,Asian
augmentation_Task3_2\beds\Asian\20027asian-canopy-beds_aug_133.png,beds,Asian
augmentation_Task3_2\beds\Asian\2871asian-panel-beds_aug_132.png,beds,Asian
augmentation_Task3_2\beds\Asian\8109asian-panel-beds_aug_149.png,beds,Asian
augmentation_Task3_2\beds\Asian\3413asian-platform-beds_aug_170.png,beds,Asian
augmentation_Task3_2\beds\Asian\7873asian-platform-beds_aug_107.png,beds,Asian
augmentation_Task3_2\beds\Beach\8144beach-style-panel-beds_aug_96.png,beds,Beach
augmentation_Task3_2\beds\Beach\8173beach-style-bunk-beds_aug_50.png,beds,Beach
augmentation_Task3_2\beds\Beach\3858beach-style-panel-beds_aug_148.png,beds,Beach
augmentation_Task3_2\beds\Beach\8141beach-style-beds_aug_58.png,beds,Beach
augmentation_Task3_2\beds\Beach\8153beach-style-panel-beds_aug_120.png,beds,Beach
data/Furniture_Data\beds\Beach\8142beach-style-panel-beds.jpg,beds,Beach
data/Furniture_Data\beds\Beach\8152beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8152beach-style-panel-beds_aug_119.png,beds,Beach
augmentation_Task3_2\beds\Beach\2832beach-style-canopy-beds_aug_122.png,beds,Beach
augmentation_Task3_2\beds\Beach\5240beach-style-toddler-beds_aug_147.png,beds,Beach
data/Furniture_Data\beds\Beach\2832beach-style-canopy-beds.jpg,beds,Beach
data/Furniture_Data\beds\Beach\8173beach-style-bunk-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8181beach-style-panel-beds_aug_73.png,beds,Beach
augmentation_Task3_2\beds\Beach\8180beach-style-platform-beds_aug_53.png,beds,Beach
data/Furniture_Data\beds\Beach\8171beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\5021beach-style-canopy-beds_aug_172.png,beds,Beach
augmentation_Task3_2\beds\Beach\4918beach-style-panel-beds_aug_110.png,beds,Beach
augmentation_Task3_2\beds\Beach\8182beach-style-panel-beds_aug_136.png,beds,Beach
augmentation_Task3_2\beds\Beach\8160beach-style-sleigh-beds_aug_84.png,beds,Beach
augmentation_Task3_2\beds\Beach\7828beach-style-panel-beds_aug_158.png,beds,Beach
augmentation_Task3_2\beds\Beach\8174beach-style-daybeds_aug_153.png,beds,Beach
augmentation_Task3_2\beds\Beach\8186beach-style-panel-beds_aug_116.png,beds,Beach
augmentation_Task3_2\beds\Beach\8160beach-style-sleigh-beds_aug_166.png,beds,Beach
augmentation_Task3_2\beds\Beach\5240beach-style-toddler-beds_aug_65.png,beds,Beach
augmentation_Task3_2\beds\Beach\8171beach-style-panel-beds_aug_165.png,beds,Beach
augmentation_Task3_2\beds\Beach\8168beach-style-sleigh-beds_aug_51.png,beds,Beach
augmentation_Task3_2\beds\Beach\5240beach-style-toddler-beds_aug_188.png,beds,Beach
augmentation_Task3_2\beds\Beach\8142beach-style-panel-beds_aug_193.png,beds,Beach
augmentation_Task3_2\beds\Beach\4991beach-style-panel-beds_aug_183.png,beds,Beach
data/Furniture_Data\beds\Beach\4991beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\2832beach-style-canopy-beds_aug_81.png,beds,Beach
data/Furniture_Data\beds\Beach\8141beach-style-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8168beach-style-sleigh-beds_aug_174.png,beds,Beach
augmentation_Task3_2\beds\Beach\5242beach-style-panel-beds_aug_180.png,beds,Beach
augmentation_Task3_2\beds\Beach\8166beach-style-panel-beds_aug_123.png,beds,Beach
data/Furniture_Data\beds\Beach\8150beach-style-canopy-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\24547beach-style-nightstands-and-bedside-tables_aug_103.png,beds,Beach
augmentation_Task3_2\beds\Beach\8146beach-style-panel-beds_aug_182.png,beds,Beach
data/Furniture_Data\beds\Beach\8182beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8151beach-style-panel-beds_aug_186.png,beds,Beach
data/Furniture_Data\beds\Beach\8180beach-style-platform-beds.jpg,beds,Beach
data/Furniture_Data\beds\Beach\8145beach-style-panel-beds.jpg,beds,Beach
data/Furniture_Data\beds\Beach\8186beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8172beach-style-canopy-beds_aug_52.png,beds,Beach
data/Furniture_Data\beds\Beach\8166beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\24547beach-style-nightstands-and-bedside-tables_aug_185.png,beds,Beach
augmentation_Task3_2\beds\Beach\8149beach-style-kids-beds_aug_197.png,beds,Beach
augmentation_Task3_2\beds\Beach\8164beach-style-panel-beds_aug_130.png,beds,Beach
augmentation_Task3_2\beds\Beach\4918beach-style-panel-beds_aug_192.png,beds,Beach
augmentation_Task3_2\beds\Beach\8153beach-style-panel-beds_aug_161.png,beds,Beach
augmentation_Task3_2\beds\Beach\4991beach-style-panel-beds_aug_142.png,beds,Beach
augmentation_Task3_2\beds\Beach\8157beach-style-kids-beds_aug_138.png,beds,Beach
augmentation_Task3_2\beds\Beach\8139beach-style-loft-beds_aug_146.png,beds,Beach
data/Furniture_Data\beds\Beach\8164beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8151beach-style-panel-beds_aug_63.png,beds,Beach
data/Furniture_Data\beds\Beach\4918beach-style-panel-beds.jpg,beds,Beach
data/Furniture_Data\beds\Beach\8183beach-style-bunk-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8150beach-style-canopy-beds_aug_127.png,beds,Beach
augmentation_Task3_2\beds\Beach\8144beach-style-panel-beds_aug_55.png,beds,Beach
data/Furniture_Data\beds\Beach\8136beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\24547beach-style-nightstands-and-bedside-tables_aug_144.png,beds,Beach
augmentation_Task3_2\beds\Beach\8149beach-style-kids-beds_aug_115.png,beds,Beach
data/Furniture_Data\beds\Beach\5240beach-style-toddler-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8139beach-style-loft-beds_aug_187.png,beds,Beach
augmentation_Task3_2\beds\Beach\4925beach-style-panel-beds_aug_77.png,beds,Beach
augmentation_Task3_2\beds\Beach\4925beach-style-panel-beds_aug_159.png,beds,Beach
augmentation_Task3_2\beds\Beach\8138beach-style-bunk-beds_aug_128.png,beds,Beach
augmentation_Task3_2\beds\Beach\8164beach-style-panel-beds_aug_89.png,beds,Beach
augmentation_Task3_2\beds\Beach\24547beach-style-nightstands-and-bedside-tables_aug_62.png,beds,Beach
augmentation_Task3_2\beds\Beach\5240beach-style-toddler-beds_aug_106.png,beds,Beach
augmentation_Task3_2\beds\Beach\5021beach-style-canopy-beds_aug_90.png,beds,Beach
augmentation_Task3_2\beds\Beach\8135beach-style-panel-beds_aug_129.png,beds,Beach
augmentation_Task3_2\beds\Beach\8186beach-style-panel-beds_aug_157.png,beds,Beach
augmentation_Task3_2\beds\Beach\8152beach-style-panel-beds_aug_160.png,beds,Beach
augmentation_Task3_2\beds\Beach\5021beach-style-canopy-beds_aug_131.png,beds,Beach
augmentation_Task3_2\beds\Beach\4828beach-style-panel-beds_aug_85.png,beds,Beach
augmentation_Task3_2\beds\Beach\8176beach-style-toddler-beds_aug_102.png,beds,Beach
augmentation_Task3_2\beds\Beach\4991beach-style-panel-beds_aug_60.png,beds,Beach
data/Furniture_Data\beds\Beach\3858beach-style-panel-beds.jpg,beds,Beach
data/Furniture_Data\beds\Beach\8151beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\7828beach-style-panel-beds_aug_76.png,beds,Beach
augmentation_Task3_2\beds\Beach\2832beach-style-canopy-beds_aug_163.png,beds,Beach
augmentation_Task3_2\beds\Beach\8180beach-style-platform-beds_aug_176.png,beds,Beach
augmentation_Task3_2\beds\Beach\4925beach-style-panel-beds_aug_118.png,beds,Beach
augmentation_Task3_2\beds\Beach\8144beach-style-panel-beds_aug_178.png,beds,Beach
augmentation_Task3_2\beds\Beach\8181beach-style-panel-beds_aug_114.png,beds,Beach
data/Furniture_Data\beds\Beach\8181beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8150beach-style-canopy-beds_aug_168.png,beds,Beach
augmentation_Task3_2\beds\Beach\8135beach-style-panel-beds_aug_47.png,beds,Beach
augmentation_Task3_2\beds\Beach\8142beach-style-panel-beds_aug_152.png,beds,Beach
data/Furniture_Data\beds\Beach\4828beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8138beach-style-bunk-beds_aug_87.png,beds,Beach
augmentation_Task3_2\beds\Beach\8166beach-style-panel-beds_aug_164.png,beds,Beach
augmentation_Task3_2\beds\Beach\8182beach-style-panel-beds_aug_95.png,beds,Beach
augmentation_Task3_2\beds\Beach\8164beach-style-panel-beds_aug_171.png,beds,Beach
data/Furniture_Data\beds\Beach\8160beach-style-sleigh-beds.jpg,beds,Beach
data/Furniture_Data\beds\Beach\7828beach-style-panel-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8166beach-style-panel-beds_aug_82.png,beds,Beach
augmentation_Task3_2\beds\Beach\8172beach-style-canopy-beds_aug_93.png,beds,Beach
augmentation_Task3_2\beds\Beach\8172beach-style-canopy-beds_aug_134.png,beds,Beach
augmentation_Task3_2\beds\Beach\8172beach-style-canopy-beds_aug_175.png,beds,Beach
augmentation_Task3_2\beds\Beach\8168beach-style-sleigh-beds_aug_92.png,beds,Beach
augmentation_Task3_2\beds\Beach\8186beach-style-panel-beds_aug_75.png,beds,Beach
data/Furniture_Data\beds\Beach\8157beach-style-kids-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8173beach-style-bunk-beds_aug_132.png,beds,Beach
augmentation_Task3_2\beds\Beach\8149beach-style-kids-beds_aug_74.png,beds,Beach
augmentation_Task3_2\beds\Beach\8152beach-style-panel-beds_aug_78.png,beds,Beach
augmentation_Task3_2\beds\Beach\8160beach-style-sleigh-beds_aug_43.png,beds,Beach
augmentation_Task3_2\beds\Beach\8157beach-style-kids-beds_aug_56.png,beds,Beach
augmentation_Task3_2\beds\Beach\8180beach-style-platform-beds_aug_94.png,beds,Beach
data/Furniture_Data\beds\Beach\8139beach-style-loft-beds.jpg,beds,Beach
augmentation_Task3_2\beds\Beach\8139beach-style-loft-beds_aug_64.png,beds,Beach
augmentation_Task3_2\beds\Beach\8142beach-style-panel-beds_aug_70.png,beds,Beach
augmentation_Task3_2\beds\Beach\8141beach-style-beds_aug_99.png,beds,Beach
augmentation_Task3_2\beds\Beach\5242beach-style-panel-beds_aug_98.png,beds,Beach
augmentation_Task3_2\beds\Beach\8146beach-style-panel-beds_aug_100.png,beds,Beach
augmentation_Task3_2\beds\Beach\3858beach-style-panel-beds_aug_66.png,beds,Beach
augmentation_Task3_2\beds\Beach\4991beach-style-panel-beds_aug_101.png,beds,Beach
augmentation_Task3_2\beds\Beach\7828beach-style-panel-beds_aug_117.png,beds,Beach
augmentation_Task3_2\beds\Beach\8182beach-style-panel-beds_aug_177.png,beds,Beach
augmentation_Task3_2\beds\Beach\8141beach-style-beds_aug_181.png,beds,Beach
augmentation_Task3_2\beds\Beach\8181beach-style-panel-beds_aug_155.png,beds,Beach
augmentation_Task3_2\beds\Beach\8160beach-style-sleigh-beds_aug_125.png,beds,Beach
augmentation_Task3_2\beds\Beach\8166beach-style-panel-beds_aug_41.png,beds,Beach
